,review
558,"Sushi lunch combo was perf! Quick, good, In and out. (That's What She Said) HahaAnywho, yes!!! Fresh and tasty!"
559,"I have tried multiple times in this restaurant. Overall, lunch menus are good. But Omakase is not worth ROI. Nothing special/ quality is low. I couldn't see the difference between special sushi vs. omakase sushi. The main dish (both Sashimi and Sushi) were really mediocre.The hostess (young lady at the counter) is not professional. i still recommend the restaurant for quick lunch but this is not a place for nice dinner."
560,It's a small restaurant neat downtown Mountain View. Not much to look at from outside but you can tell by big line outside the restaurant.  The fish is fresh and always a pleasure to let the chef prepare a dish for you.  Highly recommended but make sure you are first to arrive as they get very busy.
561,"I've gone back several times with co-workers and friends. Food is really just mediocre and I don't think it's worth the price.  My first time experience was the worst (from my first review), but after going back in groups, and we've ordered with no budget constraint once, I really feel like there are other better sushi restaurants in the area, let alone the bay, that you can spend equal amount of money and get something better. Not sure if sushi tomi at cupertino is owned by the same owner, but that one is way better."
562,"Horrible service and attitude. Went during lunch and was very disappointed of the quality.  The chirashi i had was like of leftover fish pieces and the young manager rudely told us ""this is what you get for lunch prices"" when we complained.  I also got sick couple hours after eating at that place. I don't understand the good reviews and will never try that place again.  There are other much better alternatives to dine at downtown mountain view."
563,"I want to give Sushi Tomi 5 stars... I really do. It's a solid place, with good quality fish and delicious cooked food. They also offer omakase, which is a chef choice of 10 pc nigiri and appetizers. They are usually pretty good. However, the quality of the appetizers is inconsistent. I have been absolutely wow'ed and also been really disappointed. We used to go to Sushi Tomi for celebration dinners, but not any more because of the unpredictability in quality. The service is also mediocre. There is also a long wait if you didn't come within 15 min of opening. Since it's so popular, it can also get really crowded. With a baby in the tow now, I'd rather go with something that is more spacious and reliable."
564,Amazing food!! I had extra special sushi dinner! Omg delicious!!! I like sitting at the sushi bar because you can see what chefs are doing! I recommend the sushi bar!
565,Love their sushi!  So sad we can't dine in right now. The service is a bit rough at times because they are so busy. But the food is great!!!
566,After reading all the positive reviews i decided that i have to visit this sushi resturant and I am glad that i did. the sushi was well made and the service was great i had a few diffrant rolls and i enjoyed all of them.
567,great sushi and bento boxes for reasonable prices. recommend the Tomi Special Roll.
568,"Don't really understand why there's a line for this place. We ordered sushi sets - and there is absolutely no seasoning in the rice. Rice was too dry and too much for the nigiri, so it resulted in unbalanced taste. Some pieces had little to no wasabi, while others had quite a bit. No complaints about the quality of the fish itself though - but the price was a bit high. Kula sushi had much better taste & price...The salad that came with it had way too much sauce as well."
569,"**TERRIBLE CUSTOMER SERVICE** they started  yelling at me when there was a customer service issue. This is what happened:I ordered the lunch bento and when it came out, there was an error.  I asked the waiter (his name is T) and instead of saying ""woops my bad"" or ""sorry"" he proceeded to yell and me and say that this is what I ordered.  No, it wasn't what I ordered and my lunch mate agreed.  I asked him calmly if he could just swap it out, no big deal.  NO WE CAN'T DO THAT- NO SUBSTITUTIONS.  Well dude, #1 stop yelling and spewing streams of spit in my face and #2 you screwed up my order, i'm not asking for a substitution.  Then out of nowhere another waitress named Pauline (older asian lady) walks up on my other side and starts yelling at me and waving the menu in my face.  So now, I have T on my rightside yelling and Pauline on my left side yelling.  THey've boxed me in and are spitting, waving menus (less than an inch from my face) and embarrassing me in the middle of the restaurants.  I asked for the manager- never appeared.  When it came time for the check, they literally threw it at my friend who had to catch it.  Don't go here.  The food is mediocre Japanese sushi/bento and the service is appalling.  There are hundreds of other places that deserve your business- not this one."
570,"Pretty good. Not the best sushi ever but then again we were only here for lunch and didn't get any of the ""fancy imported specials"".Since Mo and me are still on reintroduction from Whole30 we went pretty basic and got the sashimi lunch with double salad no rice. The lunch combos all come with the basic miso soup, salad, and rice.Definite props to our waitress who brought us 2 different kinds of salad dressing and explained what was in each without us even asking (Just in case we couldn't have one or the other). Great service right there. Anyways our sashimi was very fresh and had good portioning for $12. I would definitely come back...given there isn't a line the size of the Great Wall outside."
571,"I have eaten a lot of sushi in my life. A lot. If I had a piece of sushi for every piece of sushi I've eaten, it would be a lot. Sushi Tomi is consistently one of the best Japanese restaurants I've eaten at, and it holds up to some of the better restaurants in Japan that I've been to.Today I went to lunch with my wonderful wife (which is always a treat in itself), and part of my order was nigiri sake (salmon), and it was, I believe, the best sake I've ever had in my life. Wow, was it amazing.Tomi is a little more expensive than some other Japanese restaurants, but I'd rather eat out less often and get the best. You'll never get a raw deal here. Well, I mean...."
572,"Excellent sushi for the general  penninsula area.  Actually, an excellent choice for the bay area.  Good pricing for pretty generous meal portions.  Their 2 choice combo has a good selection to choose from and is filling because it includes tea, soup and a small salad.  Their sushi offerings have both the typical rolls and nigiri but thru also have more exotic offerings as well.Have been here several times and have never been disappointed.  Yes, there is usually a wait but it's usually not long but well worth it."
573,"It is crowded, even it is not weekend. Waiting time is around 30 mins. The sashimi is so good, it is very fresh and high quality. Saba shioyaki, beef teriyaki and chicken teriyaki are really full enough for 1.5 people. The dinner/luchn special comes with salad and miso soup. Overall, Sushi Tomi is definitely great  Japenese restaurant in Bay Area."
574,"Just okay. I've driven past this restaurant for ages and have seen the infamous out the door lines so I never tried to have dinner here. I finally had a sushi craving and reason to celebrate so I came here on a weekend for lunch. There wasn't a like but there were multiple people still on the waiting list all we waited about 15 minutes as people showed up and got seated since that had put their name down earlier. Once we were seated, I could tell the service was going to be lackluster. We were given menus and after several minutes offered water. And then nothing. The menu doesn't indicate what type of fish is included in the sashimi and sushi lunches which was annoying so I had to ask due to food allergies. Our waitress seemed very inconvenienced by the fact I asked. And after all that, how was the food? Just average. My sushi lunch was a good portion-3 pieces of delicious Cali roll, 3 pieces tuna, 3 pieces cucumber, 5 pieces nigiri (1 salmon, tuna, yellow tail, shrimp, and a seared fish I never got the name of.. Maybe amberjack?). You also get 3 pieces of broccoli in a mysterious yellow orange sauce, which I was apparently allergic to one of the sauce ingredients so I didn't finish. Miso soup was great and you also get a salad before the bento box is brought out. My husband got his typical teriyaki chicken bento box and it was a good sized meal but he said quality wise it was nothing to write home about. Overall I'm glad I tried this place but don't think I'll be back. The wait and price doesn't justify the meal unfortunately. It's hyped up because of the quality of fish but I'm sure you could get the same elsewhere."
575,"Sushi Tomi is known for its amazing fresh sushi, variable but always yummy menu - and long waits in the cold outside. They're a bit slow turning their tables, so just bring a coat and the wait is worth it.Fatty tuna nigiri is my fave, but the deep fried spicy tuna handroll is good too. You really can't go wrong. Quick service as well."
576,"The nigiri special is an excellent deal with really great pieces of fish for the price. You put your name on a list outside, and it moves quite quickly. I love that you're served edamame and miso soup upon ordering, too. Also nice that this is off the beaten path."
577,"I called a week in advance to make reservations for a Sunday dinner. I called the day before to confirm. However, when I checked in for dinner, they said there were no reservations under my name. :-( they kept asking me if I called their SJ location by accident so I showed them the call log on my phone which showed the correct location. Fortunately, they had a table available. With that out of the way....Ordered a ton of nigiri:-tobiko with raw quail egg yolk-sake toro - Melts in your mouth-hamachi toro-amaebi-unagi-scallop-tako-spider roll-agedashi tofu-white tuna tataki - DELICIOUS!-stuffed chicken wingsThe fish were all very fresh. However, I would not recommend the stuffed chicken wings though. It was $8 for 2 wings. We normally get and end with toro but at $15/pair we decided to pass on it this time. Most of the nigiri pairs above were around $6-7.I'll definitely be back..."
578,"Short story:Overrated sushi.Long story:I went here with friends and the place was packed.  I saw previous yelp reviews that said this was the sushi place to go to.  But overall the sushi was bland and overpriced.  Maybe I had high expectations because of the high ratings.  Therefore, I'm willing to try them one more time."
579,"I honestly really enjoy eating at this place. Even though this place is almost always crowded whenever I go. So when you do want to give this place a try, see if you can make a reservation first! The wait can be tremendous but if you want some warm tea to sip on while waiting, I do believe the workers would be more than happy to accommodate. I've seen it happen.This establishment is pretty tiny but if you are looking for this place, be sure to be looking for a bunch of people crowding in front of a building. That's the place you're looking for. Parking can be challenging because of how populated that area usually is. There is a parking lot across from the restaurant which is very convenient but a majority of times that I've gone, that parking lot was full. You may have to drive around to find parking ... like driving around several times.Onto the food! Their sushi is pretty fresh compared to several other sushi places I've tried. How do I know? Their uni. I'm not an expert when it comes to fish but one of the things that makes it so easy for me to tell is when I eat uni. When uni is fresh, it's sweet and tastes amazing, especially with rice. However, when the uni is not fresh, it is disgusting and all you can taste is salt water. Aside from their uni, their fatty tuna is also amazing. It melts in your mouth! Whenever I come to Sushi Tomi, I just have to have a piece of their fatty tuna. It just makes my night awesome. And when you add their fresh uni onto the same night, I'm just on cloud 9 playing some ukulele music and cloud hopping. My favorite thing to get from Sushi Tomi has got to be their extra special chirashi. It's in a wooden container, sushi rice at the bottom, and an assortment of sashimi on top of the rice. Not only sashimi but a bit of tamago and seaweed salad to boot! Oh, you get uni AND toro as part of the assortment as well! Fresh, amazing, and absolutely satisfying. Love this place! Don't hesitate to give it a try. Can't go wrong! Though, with all good sushi places, it's not cheap so ... don't expect it to be but it's also not expensive! It's pretty average in pricing as long as you don't go crazy? Haha!"
580,They take lunch reservations.Green hot tea is fantastic.Udon is very good- I suggest ordering this.Entrees plates are goodSushi ok
581,"This was a really good Japanese place, one of the best that I've been to in the area! I went during lunchtime on a weekday with my friend so it was a little bit busy (we had to wait around 10 minutes), but nothing crazy so that was great. The service was really fast (probably because they were trying to turnover tables quickly) so that was excellent as well. I decided to order the salmon teriyaki and my friend ordered a sushi bento box. For me, the salmon was really delicious. The portion sizes were pretty generous for the price I was paying and the fish definitely tasted fresh and light (sometimes Japanese restaurants will put too much teriyaki sauce on, but this was not the case). My friend had a complaint about the amount of wasabi that was on her sushi which overpowered the sushi a little bit, but I can't speak for her so this rating is a reflection of my experience. Overall, this is a really good Japanese place and I personally would recommend it to anyone else looking for great Japanese food!"
582,"Dinner combination: Spicy chicken miso nabe, tempura. It was pretty good!! Wait time for Friday night: 45 mins This place is pretty legit. My husband had the sashimi and he thought it was v good. Polite service! There's also a parking lot in front of restaurant but maybe busy on weekends and you might find it hard to find parking around the area."
583,"Pricey but tasty, would come again.Gizzards too chewy but chicken skin tasty. Caterpillar roll really big with rice, but still good. Fried oysters good but a lot of breading. Salmon, roe, and unagi nigeri all good. Spinach with sweet miso good. Bill was $90 with taxCame before 6 pm sat night and got seated quickly, got busy afterwards with long line. Dragon roll: meh-- had lettuce and too much rice.Combo dinner special had ample portion of salmon sashimi"
584,"Pricey but tasty, would come again.Gizzards too chewy but chicken skin tasty. Caterpillar roll really big with rice, but still good. Fried oysters good but a lot of breading. Salmon, roe, and unagi nigeri all good. Spinach with sweet miso good. Bill was $90 with tax.Came before 6 pm sat night and got seated quickly, got busy afterwards with long line."
585,"I've eaten here a handful of times over the past 10 plus years or so, and I think the quality (sadly) is not as good as before.  I went last Saturday night, so it should have been the best available food (prime restaurant dining day and time). This place used to all about the fresh fish. I rarely eat raw sushi because I'm rather picky about it. When I do, it has to be very fresh and very good.  The spicy tuna roll we had wasn't too great.  Also I ordered a hamachi kama that looked like someone had already taken a chunk out of and eaten... a little disturbing.  Didn't stop me from devouring it, of course. Not the most fresh hamachi kama I've had, but it was decent - definitely not the worst."
586,"Amazing food. The downside is the long waiting list.Been here once. Came here 10 minutes before it opened. There was still a line. We were able to get sat right away. Make sure all your party is there, otherwise they wont sit you. Just around noon, this place was packed~!!! Thankfully I didn't experience the long line, but for sure there was a long line outside while we were eating.The nigiri is super fresh, authentic Japanese.Will definitely come here next time with my wife so she could try it as well."
587,"This is the first Sushi place I've visited since moving to Mt View. We (3 people) arrived around 8:45/9PM on a Saturday night. It was fairly busy but a few empty tables had us seated in seconds. Apparently the wait would have been long if we arrived an hour earlier. Within minutes of sitting down we had 2 servers come up to grab our drink orders and food orders before we even had time to look at the menu. We had the bomb roll, rainbow roll, tempura, and chicken teriyaki. Rainbow roll was OK, I've had better. The bomb roll (forgot the name) was AMAZING. There was NOT a bad choice in what we ordered so I highly recommend ordering multiple dishes and sharing!!We also ordered Sake and Sapporo. What's dinner without sake right?! It seemed like a great place for small families, and a cute date spot. Anyway, service can be better as we were a bit rushed but I attribute It to being later in the night - I would definitely come back again!!"
588,"Well of course it's good. There's no denying that this place serves fresh pieces of fish that are of high quality. I'd definitely come again, no doubt in mind. With that being said, I've also been to the San Jose residing, Tomi Sushi. Since they have similar names and mirrored menus, I decided to order the same dishes and compare the experience. I got the extra special chirashi bowl, nigiri lunch, and the salmon Kama (this was a lunch special so I had to try). So service was great. Everyone was nice and this waitress apologized for the 20-30 minute wait for a table. Food was pretty good too. The salmon Kama gave the most bang for it's buck. The two other dishes are the reason why this place couldn't reach 5 stars. Both the chirashi and the nigiri could've been plated better and made more appetizing. The nigiri lunch wasn't that great since it was just 6 nigiri and a maki roll. It all tasted great but I certainly was left wanted the experience I had with the San Jose Tomi Sushi."
589,"I walked into Sushi Tomi expecting some scrawny nerd that I could hit and quit but I was profoundly startled to find that he's a genuine, very popular, and very dreamy guy. Not that I care, I'm just here for something quick and dirty. Anyway, I got my usual. I'm a simple girl with simple tastes and a bowl of clumsily large raw fish on some satisfactory rice would've been fine but I guess Tomi's into that craftsmanship or something so I got a chirashi that had multiple flavor profiles mixed in. He had that umami shit on lock. Not that I was impressed. Or whatever. Oh my God. He also has an omakase special. Do you think he'll call me back?"
590,Best sushi I've had in the Bay Area.  The rolls taste super fresh.  The prices are also very fair.
591,"This is my go-to in both Japanese food and in my Castro street selection. The restaurant is fairly small and gets pretty busy during peak hours, but the atmosphere still manages to stay personable. I've never felt like anyone was up in my elbow room. I've had almost everything on the main menu and have to say it's all amazing. My favorites are the broiled mackerel / Saba, the tonkatsu, and the agedashi tofu. PS sashimi cuts are generous!"
592,"Sushi Tomi is located a few blocks away from Castro street so the street isn't so crowded, however, there will usually be a wait here. It's a relatively small place with a location with no flashy gimmicks, just good sushi here. I waited about 25 minutes for a seat at the bar. The quality of the sushi was amazing and the ambience is very traditional yet laid back. Very affordable and tasty, can't wait to come back!"
593,We've waited a long time to come and well worth the wait. The sushi is super fresh and the grilled items were very savory. The chicken yakitori and gyoza were expertly prepared. The combination dinners were very generous with portion sizes.
594,I Love sushi and I love this one I love the people there it's a small place and doesn't seem so tempting to go in but once you go in you'll realize. The raw fish is so good!
595,"The food was really good and service was quick. The only issue was that we felt very rushed when they were about to close. I'd rate this as a top 3 Japanese spot in Mountain View. My group of 3 had teriyaki chicken, tempura, 2 special sushi rolls, Saki and Sapporo. They all were amazing and it left us very full when leaving."
596,"Good food, ambience a bit quieter than the place next door (still talkative). The common fishes are very good. I am nay on the tempura though, super soaked in oil."
597,"This place is now my favorite sushi restaurant!Everything we ordered yesterday was delicious!  Simple, yet fresh!Sashimi dinner all just melted in the mouth and the fresh oysters were prepared perfectly...I was a very happy customer!We also ordered the omakase after realizing it was offered from reading the chalk board hanging over the sushi bar.  Next time I am just going for the $38 meal. You get three appetizers and the chef's choices.  Deep fried baby octopus was great! And surprisingly the monk fish liver was one of my favorite things to eat that night!  Nigiri galore!  I want to go back already!  I got there at 6pm yesterday and the wait list already started! When the bar opened I opt for faster seating! Make sure you indicate that table and bar seating is what you would like when writing on the wait list.  I suggest you get there eArly! There's a parking lot across the street and not a far walk from downtown mountain view.  Service is great!  If you haven't given this place a try, make sure it's on your to eat list!"
598,"Consistently fresh and tasty fish. Only cons are it's pretty pricey (well worth it though!), they don't take reservations and wait times are lonnnggg to get in - my husband and I got there at 5:10pm on Saturday, just 10 minutes after they open, and already there was a line. Our wait was about 25 minutes. Come during lunch for slightly cheaper prices and shorter lines, if it bothers you.  If you like sashimi I suggest the special sashimi for $29. The dragon roll, spicy tuna, and even they're California (usually a roll we skip) are some favorites as well. Large warm sake for $7. It's house but it gets the job done. Sake sampler is cold sake only, unfortunately, but worth a try once."
599,Always good food here. The service is quick and efficient.  Good value for the money. And the sashimi is fresh. Try the Omakase; you will love it!
600,"The sushi here does not disappoint. Very high class with soft fish and greatly packed rice. We splurged with the uni, and the flavor was on point. There is definitely no lapse in quality here! That explains the 2 hour wait time after placing a phone order!!"
601,"I had initially gone to Sushi Tomi before Yelp existed when I didn't fully appreciate sushi but enjoyed my experience.. Fast forward to now, I have been to Japan a couple of times and love sushi and still love coming here. Sushi Tomi manages to provide quality sushi mid pandemic."
602,"This is my go-to spot in the Peninsula when I'm craving fresh sashimi. I always get the extra special chirashi bowl ($29), which comes with a generous side of uni (sea urchin) and amaebi (raw shrimp). I've never experienced any issues with the freshness or quality of the food, and their prices are more than fair considering the quality and quantity. The roll selection is very sparse, and has only about 8 or so choices, most of which is the more generic options (spicy tuna, salmon and avocado etc). The only one we really ever order is the Tomi Special roll ($14.90), which allows you to customize the top with either hamachi (yellowtail), sake (salmon), or spicy tuna. Dragon and caterpillar roll are good, but nothing terribly special to write home about. This is definitely my favorite place for quality and freshness, but if you're looking for fancier rolls or more Americanized meals, this is probably not the best choice. However, get here early as there is almost always a ridiculous wait during peak dinner  hours. There is a public parking lot across the street that's generally full, but since this is located off of Castro, you can usually get lucky with residential street parking nearby."
603,"Service is excellent but food is below expectation.Almost everyone of the special is sold out, and no uni sushi which is on regular menu.The Smelt was great, it have a nice charcoal taste to it and the mayo is a great pairing.The ikura ochusuka is a bit on the cold side but the tea have strong flavor which works ok with the ikura if it was hot.The hamachi nigiri was bad the rice is stuck on the plate and there is no wasabi in between the fish and rice.The monk fish liver have a weird sour taste to it, he sauce is over powering the liver.Overall this is a so-so experience."
604,"Average. I prefer Geta Sushi in Oakland much better (and a whole lotttt cheaper). We got the tomi special bento and the sashimi. Fish is fresh but not the nicest presentation/cut. Chicken teriyaki is ok. Tempura is good and you get different vegetable plus one shrimp. Radish purée is not smooth. You can tell everything just lacks that special attention to detail. They are very busy so they don't really check on you, which is understandable. Overall, nothing really stood out. The food, service, price are all just average."
605,"I like Sushi Tomi a lot!I went there on Sat for dinner with my husband. Although we were there 5 min before the opening (5 PM), the waitress let us in! That never happened to me before at any other restaurants.We sat at the sushi bar and ordered in Japanese way (you order a small amount as you go). The sushi and service were really good. The fish was fresh, tea was strong, and the sushi was very authentic. All 3 sushi chefs are Japanse. The restaurant got filled right after the opening. I recommend getting there early, even before the opening time."
606,"Grossly overrated!  Unbearably noisy. Over seasoned eal rolls, soggy rice. Mayonnaise laden California rolls and inedible oily mayonnaise base salad dressing! Bad experience!!!"
607,"The sushi is amazing... but if you put your name down and your whole party is not there, they will skip you. This is ok, but what is NOT ok is the order in which they seat you when your party is there. Instead of being next, they will rotate between others who have signed up after you! This extended my wait time by an additional 30 min and I watched 10 groups who came after us get seated. WTF. You might as well put your name on the list again. That is not a well thought out or fair system at all. Basically, if you get skipped go somewhere else. Or... sign your name up twice on the list. One star for this system, please change how you deal with seating people."
608,"We came here on a Friday night around 7. Waiting time was only about 20 minutes.We ordered a dinner combination of Saba Shioyaki and beef sukiyaki (add $3) w/ miso soup and seasame salad, a special chirashi and Anago Onigiri. Very fulfilling for two people. The dinner combination was a good value (the sukiyaki pot was entree portion!) Everything is perfect except the sukiyaki beef was a bit overcooked. Will come back!FYI, there is a big parking lot right across the street."
609,"This is the second time my husband and I have came here for lunch and I'm stuffed to the point where I don't/can't eat anymore but I ended up ordering more food to go because it was just so delicious. I had hot green tea with two avocado rolls, spicy tuna roll, and salmon avocado roll and I was in heaven. My husband ordered the salmon nigiri and scallop nigiri. This place is definitely a go to if in downtown Mountain View! Service was excellent too! The rolls were so fresh!!! Mouth watering!!!"
610,"great unagi don! It's my must-eat food every weekend:)) addicted to this place! Another thing is their Salmon (sake) Sashimi never lets me down. Never. I have tried many things on the menu and you can't go wrong with these two.  And yes, always go there when they just opened to avoid the long line."
611,My top two places for sushi in the Bay Area. My parents have been taking me here since I was little. My dad worked for a Japanese company and would take his clients out here. There is always a wait so be prepared to write your name down and walk around the downtown!
612,"This has become one of my favorite places for fresh fish and sushi. If it wasn't so far, I'd probably be here everyday and living on the streets cause I couldn't pay rent.The fish here is extremely fresh and delicious. I don't really get anything else. Chriashi bowls, sake bowls, hamachi kama, and other sushi or sashimi items are my go-tos. Plus they have my absolute favorite fish/cut here: sake toro AKA fatty salmon. Aww yeah!The service is the reason I'm knocking off one star. The chefs seem okay, nothing special. But the servers are usually pretty cold and our waters are usually pretty low. They'll lie about the wait time and I've watched them tell multiple parties that the wait time is ""30 minutes"", no matter how long the list is.Anyways... fish. Fresh fish. I'm down."
613,"Hands down my favorite sushi joint in the area. Super fresh and delicious sushi rolls, sashimi, and hot dishes. Expect a wait during lunch/dinner time - for a reason! Today, me and my high school friend tried the DRAGON ROLL (shrimp tempura, avocado, $11), the SPICY TUNA ($9) - the rice was as very soft and delightful - and the obvious MISO SOUP. They also offer entrees such as Teriyaki Chicken but I haven't tried any of those.You're guaranteed to get a decent value for your buck - well presented, fresh sushi. Like!"
614,"This is one of our go to spots for take out sushi during C19.  It's not always easy to reach them as the phone either drops or keeps ringing, attesting to their popularity.  Their sashimi is reasonably priced and fresh.  One of my favorite is the churashi special, and my wife often will get the salmon special.  It isn't as specialized as some of the places in SF or LA but for basic no nonsense good quality fish, it's hard to find on the peninsula.  It's located a bit off the main strip and parking is reasonably easy with a lot across the way as well as by the restaurant."
615,"Good place for sushi!Generally you wait 10 minutes before you can find a seat on weekend noons. There is a sign-in sheet at the entrance. Make sure you put your name on it so that you are in the waitlist.The food is nice and with good service. The price is reasonable. I just order their special or extra-special sushi combo. Will try other items in the future.A bit defects: sometimes the rice is a bit too sticky. And, if you order oysters, make sure they don't add the sauce. The default is to serve with the sauce, which is intolerable to me."
616,"This place is popular. We got here just as they were opening and there was already a line outside but we were able to get seated right away. The service was quick and attentive. The lunch specials here are a really great deal.I got the sushi lunch ($15). The sushi was fresh and tasty. It came with a side of broccoli, 3 pieces of california roll, 3 pieces of tuna, 3 pieces of cucumber, and 5 nigiri. It definitely satisfied my sushi craving without costing me too much.Overall I would definitely be back here again."
617,Over priced for the quality. Ordered Omakase with 10 pieces of nigiri but none of the it stood out except for the med fatty tuna and lean tuna.The uni had a rancid taste which I had to spit out and I never spit out Uni as it's one of my favorite pieces. Super hyped and not worth the wait.
618,"It's very traditional sushi. Expected more variety, not as creative as you'd hope. The pictures may look more attractive but the sushi itself is just a bit on the down side."
619,"I recommend coming here early, because it gets busy!Ordered the lunch special of broiled salmon for $9.50. It came with miso soup and salad.  The miso soup was awesome because it had pieces of salmon in it!  The fish was very fresh and tasty!I would definetely come back, but only if I was early as I hate waiting."
620,"So glad I made reservations before showing up! I suggest you do too. This place is really popular. And now I know why. The four of us shared:Nigiri sushi regular: I didn't try any but everyone said the fish is fresh.Miso sea bass: 3/5 overcooked, did not melt in my mouth... Beef wrapped roll: 3/5 this was very interesting, but I prefer the tomi rolls.Caterpillar roll: 5/5 very fresh and delicious!Special Tomi Rolls: 5/5 We ordered 3 tomi rolls, salmon, spicy tuna and Hamachi. All were excellent. Food was served in a reasonable about of time and our tea was refilled in a quick manner. We will be back. Soon I hope!"
621,"Waited about 20-30 minutes on a Friday around 6:30 or 7 but as others have said, it's worth the wait! Almost every table we saw had an order of the House Special roll and we ordered it too, without even knowing what we were getting (that's my one gripe, I wish they had pictures or descriptions of their rolls!). It was good, but the highlight of the dinner was the nigiri. Love love loved my uni with quail egg (and I better have, at $9 for an order!) and the salmon roe came with a heaping scoop of eggs. I also got a tempura udon (my go-to for cold nights) but it was nothing special. The tempura had too much batter on it for me, and I felt heavy after eating 1 piece so picked off the batter on the rest of them and just ate the inside.I'd come back to try the omakase and/or more nigiri. The onigiri were also very large and had a lot of filling, so worth the price.Make reservations if you can!"
622,"Coming in around 730pm, I expected a long wait, but I was pleasantly surprised to immediately find seating. I've heard of how fresh the sashimi here is so I couldn't resist ordering the platter. The sashimi platter comes with 3 thick pieces of salmon, tuna, white tuna, and yellowtail. This dish is probably the first time I've been able to tell the difference between yellowtail and all the other seafood. Normally the yellowtail is bland, but this time it was my favorite sashimi. The texture was almost like butter. It was that soft! I'd rank the yellowtail as my favorite, followed by white tuna, salmon, and tuna. The katsu don paired with the sashimi platter has decent portion sizes and just the right amount for dinner for 2. The katsu was a bit tougher than expected, but not too crusty because it was covered with egg. The rice had enough flavor and wasn't soaked in juices, certainly a plus. Sushi Tomi serves the best sashimi I've had in the states."
623,"Definitely $$, but WORTH IT. If possible, come for lunch because the portions and food quality are same as dinner, but at cheaper prices. I've never left here disappointed :) I love the sashimi here- it's buttery smooth and soo fresh. For sashimi lovers, I recommend the Seafood Salad (only $9 during dinner!) - comes with a nice amount of sashimi, and I love the touch of seaweed salad on top. The chirashi bowls are also amazing. They are a bit pricier ($20-30 during dinner), but generous amount of sashimi and seafood. The dinner combos ($18) are great for sharing! You get two entree choices. I've had both the chicken and beef teriyaki- they're okay. The chicken is a bit oily and comes with a lottt of chicken skin/fat. Expect to wait at least 10-15 minutes on a 'slower' weekday."
624,"Very best authentic but casual Japanese Sushi/Izakaya at Castro St, Mountain View. We always like to be there with family and/or friends."
625,"The sushi here is great. It's not melt-in-your-mouth quality, but it is clearly of better quality than most other sushi places. The fish is fresh and flavorful without being too seafood-y. I had no regrets about my Nigiri special - it was reasonably priced and each piece of fish was delicious.I only took away one star because of the service. To be fair, this place is very popular and very busy. However, the service does leave much to be desired. The restaurant layout is a little strange and has lots of pillars and nooks, so it can be hard to get a waiter's attention. It was hard to get water refills and even hard to get the check after we were done eating and had been sitting around for some time."
626,"Found this place on Yelp after browsing for good sushi places around Mountain View since I was in town and was craving sushi. I saw that they had good reviews, so I came here with a friend around 6pm for dinner. There was a little bit of a wait, but it wasn't bad. The place was packed with families. Our waitress was super nice and made sure our waters were constantly refilled. My friend and I ordered the Salmon Avocado Roll and the Spider Roll to share. The portions for the rolls were kind of small, but they were cheap, so I'm not complaining. We also ordered the miso soup, which I enjoyed, but I was very disappointed with the rolls. The fish wasn't very fresh and overall very underwhelming. I probably won't come back here and wouldn't recommend it to friends."
627,"MMMMMMM!!! SASHIMI LUNCH! SASHIMI CUTS SO THICK!Just writing this is making my mouth water so let's get to it before I ruin my keyboard.Ambiance:  This place is decent sized for Castro but because it's so yummy there will always be a wait at lunch.  Cool and casual, there is nothing to complain about (unless they can expand the place!)Service: My service was good even though the place was slammed.  I'm sure they're used to that level of traffic by now.Food: SASHIMI CUTS SO THICK! I ordered the sashimi lunch under recommendation of my waitress and boy am I glad I did!.  They were served at a perfect temperature and I was given a fairly large portion considering the cost of the lunch deal.  The star of the meal was the SALMON! The cut was so fatty the fish had an almost smoky flavor to it even though it was raw.  I can still taste it in my mouth just thinking about it.  I eat a lot of sushi and I've never had salmon so flavorful.  *shudders*What else can I say.  Will be back.  Will get salmon again.  Long wait, don't care."
628,"I've been here a handful of times - definitely good enough to warrant another visit. This place is a local favorite - if you come anytime near peak hours definitely expect to wait, but the service is prompt so you usually don't have to wait more than 20 minutes (perfect amount of time to head around the corner for boba at Tea Era!)Disclaimer: I was first introduced to sushi when I lived in Japan, so my standards are pretty high. One of the better, more reasonably priced sushi joints in the area with reasonably fresh fish, but nothing particularly spectacular. Unfortunately I'm rarely impressed by sushi in the Bay, so I just have to review based off of comparison. I typically get one of the nigiri sushi plates (the only way to properly eat sushi!) and an order of wakame salad even though I think it's overpriced ($4.90 for a tiny scoop!). The Special Nigiri Sushi includes all the typical nigiris, plus BBQ eel, ikura (salmon roe), and toro (fatty tuna). Perfect for a sushi fix."
629,"Pros: Great food, great variety, fairly good pricing, fast service Cons: Needs more seatingWould definitely return!"
630,This is a solid and authentic japanese restaurant nestled in mountain view. I don't think too highly of the South Bay in regards to sushi but sushi tomi really surprised me. Things to know:- Arrive upon opening time to avoid waiting in line otherwise come with patience as the lines can get long - Chirashi is really good. I love their rice.. It is some of the best in my opinion - Tomi special roll is an absolute must
631,Love the food there - a little pricy. Been doing take out there during the pandemic - too bad they didn't have an outdoor seating. Cant wait for re-opening.
